UniProt	Species
F1M0C4	10116
Q4QQV0	10116
F1M0C0	10116
E9PT24	10116
F8WG35	10116
Q62947	10116
D3ZFL3	10116
D3ZWL1	10116
Q9QYW5	10116
A8ASI9	10116
Q9JLT6	10116
D3ZQP6	10116
D3ZRN3	10116
Q562C0	10116
A0A0U1RRZ3	10116
B5DFG5	10116
