Bait.Accession,Prey.Accession,SAINT_24,X24HPI,SAINT_48,X48HPI,SAINT_72,X72HPi,SAINT_96,X96HPI,SAINT_120,X120HPI
P16778,Q9UBX3,0,24557.59036,0.51,34971.70091,0.99,35785.4182,0.99,41566.54665,0.97,29316.08386
P16778,O00743,NA,11023.70241,0,21089.56685,0.91,11478.93255,0.97,15110.5066,0.41,7881.501704
P16778,Q9UJS0,0,95015.39213,0.62,108892.7176,0.61,133057.7251,0.45,166830.6527,0.96,124938.0981
P16778,P36542,0,29045.36247,0,22812.96052,0.82,20612.31639,0.93,21163.19712,0.1,15397.14548
P16778,Q9NX63,0.84,134335.3252,0.99,418124.2195,0.99,270905.186,0.99,252364.4713,0.89,147442.3099
P16778,P55084,0.88,2320543.691,1,3893415.416,1,4241567.41,1,4466973.298,1,2858269.679
P16778,Q9Y277,0.98,927010.1426,0.83,1017570.401,0.99,913426.2921,0.99,989306.6754,1,628459.02
P16778,Q6NZI2,0,229249.2593,0.5,948555.9598,0.05,86857.62505,1,230253.9606,0.01,25176.40778
P16778,Q9NVI7,0.94,97616.17592,0.96,181388.1596,1,159731.8616,0.99,197671.95,1,99279.94882
P16778,Q9UJZ1,0.73,76353.86541,0.99,84770.82166,0.99,84590.07152,1,144881.4863,1,77017.74597
P16778,O96008,0.91,66163.95913,0.86,70683.81561,1,106155.9247,1,108520.5129,1,80402.00915
P16778,Q16891,1,504183.2062,1,1143901.956,1,618702.3594,1,780480.4371,1,388410.4423
P16778,Q5T160,0,7646.513192,0.61,8505.750403,0.96,8283.34581,0.95,7599.689504,0.91,6341.454178
